Gene,P_adj,Fold_Change,Log2_Fold_Change
TRNP1,3.0875438601466107e-75,0.01437761,-6.1200323
GPR179,6.230544324423376e-76,0.008027473,-6.9608383
A330076H08RIK,3.3845490134994153e-78,0.009640896,-6.696617
GNB3,2.1922081202744987e-78,0.12570152,-2.991926
CABP5,5.882181424469741e-80,0.010121866,-6.626381
LIN7A,3.018081142108403e-82,0.015720328,-5.991225
ITM2C,8.474811113030857e-83,0.038806185,-4.6875696
BC030499,8.474811113030857e-83,0.021151649,-5.563086
PCP4,2.3396798901482105e-83,0.028829047,-5.116333
ISL1,3.4909998916563525e-84,0.010160936,-6.620823
SNRPN,3.4909998916563525e-84,0.047942113,-4.3825626
SPHKAP,1.7354339473806182e-85,0.012151804,-6.3626857
GABRG2,7.74157298685098e-86,0.008138301,-6.9410567
NAP1L5,2.5040458033750554e-86,0.028135354,-5.151472
B3GALT2,1.954531475199603e-86,0.0050108037,-7.6407423
GM4792,5.207369992310008e-87,0.015455109,-6.0157723
LHX4,1.1681082473737124e-88,0.0076959003,-7.021694
GPM6A,6.431280796961552e-92,0.020914407,-5.579359
SYT4,6.888800304146164e-93,0.0099614905,-6.6494226
TMEM215,4.848724357293584e-94,0.0045024054,-7.7950883
GUCY1B3,1.1625147329014991e-96,0.013288909,-6.2336335
THSD7A,2.1490364217402928e-98,0.015044572,-6.054613
GUCY1A3,2.3649568694917454e-100,0.015999094,-5.965866
SCGN,6.762686963624341e-101,0.007782321,-7.005584
VSX2,1.4773634115257656e-102,0.010892582,-6.52051
KCNMA1,8.47813795577318e-103,0.008408303,-6.8939695
TRPM1,2.1058484726965577e-104,0.0153610585,-6.0245786
FRMD3,3.928061002198111e-106,0.0059333756,-7.396931
CAR10,3.5622313351911147e-109,0.0042392486,-7.8819757
SCG2,8.958798954752828e-113,0.012718595,-6.296917
GNG3,1.5152845119340395e-114,0.025346257,-5.3020835
GNG13,5.835647582513625e-115,0.01514721,-6.044804
PROX1,2.2227180030165077e-115,0.010412,-6.585609
TUBB2A,1.265881026952779e-121,0.011985834,-6.382526
HMGN3,1.1149830992775826e-121,0.044306614,-4.496334
CADPS,3.3616069720478605e-122,0.014850804,-6.073315
LRTM1,3.9275128061433067e-126,0.0072112316,-7.1155386
GABRA1,1.7850368357016628e-128,0.005859574,-7.4149885
PTPRD,3.9732073460261734e-131,0.0075085694,-7.057246
CPLX3,7.908430264953617e-139,0.07444851,-3.7476132
GRIA2,2.7047523953681544e-140,0.01146096,-6.4471283
APP,7.06255151673416e-141,0.012133387,-6.364874
NEUROD4,9.6349757474231e-146,0.007210793,-7.1156263
NME1,1.2079125836183142e-151,0.025869766,-5.272589
NRXN3,4.4283749239084757e-162,0.015761988,-5.9874067
